Iterations,Adagrad,AdagradG
0,-398.559628822,-398.559628822
1,-393.168618765,-566.128223757
2,-389.561996149,-323.610938792
3,-386.731050472,-321.490243858
4,-384.358020121,-321.165783053
5,-382.295359697,-319.851232214
6,-380.460547235,-319.927330934
7,-378.801972469,-318.583355776
8,-377.28484121,-318.499826755
9,-375.884392381,-317.286626821
10,-374.582269311,-317.037158438
11,-373.364420218,-316.104719314
12,-372.219807655,-315.79621252
13,-371.139576015,-315.141430109
14,-370.116492916,-314.848462899
15,-369.144561858,-314.401848905
16,-368.218746074,-314.152827976
17,-367.334766912,-313.844595169
18,-366.488953551,-313.641795275
19,-365.678128945,-313.421311562
20,-364.89952186,-313.257332084
21,-364.150698064,-313.092094511
22,-363.429505817,-312.957967119
23,-362.734032182,-312.828115935
24,-362.062567644,-312.716206977
25,-361.413577197,-312.609777169
26,-360.785676491,-312.514353902
27,-360.177612017,-312.424092675
28,-359.588244511,-312.341074898
29,-359.016534973,-312.26249983
30,-358.461532801,-312.189038401
31,-357.922365674,-312.119297517
32,-357.398230871,-312.05339948
33,-356.888387793,-311.990611184
34,-356.392151476,-311.930860678
35,-355.908886958,-311.873731832
36,-355.438004354,-311.819098184
37,-354.97895453,-311.766701631
38,-354.531225309,-311.716412562
39,-354.094338104,-311.668055966
40,-353.667844944,-311.621515379
41,-353.251325828,-311.576662606
42,-352.844386359,-311.533397509
43,-352.44665564,-311.49162048
44,-352.057784373,-311.451246507
45,-351.677443166,-311.412194925
46,-351.305320989,-311.374393566
47,-350.941123797,-311.337775269
48,-350.584573273,-311.302278468
49,-350.235405689,-311.26784621
50,-349.89337087,-311.234425641
51,-349.558231256,-311.201967862
52,-349.229761038,-311.170427205
53,-348.907745375,-311.139761317
54,-348.59197967,-311.109930512
55,-348.282268911,-311.080897865
56,-347.978427067,-311.052628705
57,-347.680276522,-311.025090671
58,-347.387647569,-310.998253332
59,-347.100377927,-310.972088199
60,-346.818312306,-310.946568446
61,-346.541301999,-310.921668894
62,-346.269204505,-310.8973658
63,-346.00188318,-310.873636824
64,-345.739206911,-310.850460874
65,-345.481049818,-310.827818057
66,-345.227290965,-310.805689565
67,-344.977814106,-310.784057622
68,-344.732507433,-310.762905397
69,-344.491263353,-310.74221695
70,-344.253978273,-310.721977164
71,-344.020552396,-310.702171696
72,-343.79088954,-310.682786922
73,-343.564896955,-310.663809892
74,-343.342485164,-310.645228282
75,-343.123567806,-310.627030361
76,-342.908061488,-310.609204946
77,-342.695885653,-310.591741369
78,-342.486962443,-310.574629448
79,-342.281216587,-310.557859454
80,-342.078575277,-310.541422082
81,-341.878968067,-310.525308429
82,-341.682326764,-310.509509966
83,-341.488585339,-310.494018518
84,-341.297679827,-310.478826244
85,-341.109548248,-310.463925614
86,-340.924130518,-310.449309393
87,-340.741368378,-310.434970628
88,-340.561205315,-310.420902623
89,-340.383586495,-310.407098935
90,-340.208458695,-310.393553353
91,-340.035770242,-310.380259889
92,-339.865470949,-310.367212763
93,-339.697512063,-310.354406396
94,-339.531846207,-310.341835396
95,-339.368427329,-310.329494552
96,-339.207210654,-310.317378819
97,-339.048152637,-310.305483318
98,-338.891210915,-310.293803319
99,-338.736344269,-310.28233424
100,-338.583512581,-310.271071639
101,-338.432676794,-310.260011204
102,-338.283798878,-310.249148752
103,-338.136841789,-310.238480219
104,-337.991769443,-310.228001655
105,-337.848546674,-310.217709224
106,-337.707139212,-310.207599191
107,-337.567513646,-310.197667925
108,-337.429637401,-310.18791189
109,-337.293478705,-310.178327644
110,-337.15900657,-310.168911831
111,-337.026190758,-310.159661185
112,-336.895001767,-310.150572517
113,-336.765410797,-310.141642722
114,-336.637389737,-310.132868766
115,-336.510911139,-310.124247692
116,-336.385948199,-310.115776611
117,-336.262474734,-310.107452702
118,-336.14046517,-310.099273212
119,-336.019894516,-310.091235449
120,-335.900738351,-310.083336782
121,-335.782972808,-310.07557464
122,-335.666574554,-310.067946508
123,-335.551520777,-310.060449929
124,-335.437789169,-310.053082496
125,-335.325357914,-310.045841856
126,-335.214205673,-310.038725705
127,-335.10431157,-310.03173179
128,-334.995655177,-310.024857903
129,-334.888216508,-310.018101882
130,-334.781975998,-310.011461612
131,-334.6769145,-310.004935019
132,-334.573013266,-309.998520071
133,-334.470253941,-309.992214778
134,-334.368618554,-309.986017191
135,-334.268089499,-309.979925398
136,-334.168649538,-309.973937525
137,-334.070281778,-309.968051735
138,-333.972969675,-309.962266227
139,-333.876697013,-309.956579236
140,-333.781447904,-309.950989029
141,-333.687206776,-309.945493909
142,-333.593958366,-309.940092208
143,-333.501687711,-309.934782292
144,-333.410380142,-309.929562559
145,-333.320021275,-309.924431435
146,-333.230597006,-309.919387376
147,-333.142093502,-309.914428867
148,-333.054497196,-309.909554422
149,-332.96779478,-309.904762581
150,-332.881973199,-309.900051913
151,-332.797019642,-309.895421012
152,-332.712921542,-309.890868498
153,-332.629666564,-309.886393016
154,-332.547242606,-309.881993237
155,-332.465637787,-309.877667854
156,-332.384840445,-309.873415585
157,-332.304839134,-309.869235172
158,-332.225622615,-309.865125378
159,-332.147179853,-309.86108499
160,-332.069500014,-309.857112815
161,-331.992572456,-309.853207682
162,-331.916386731,-309.849368441
163,-331.840932575,-309.845593964
164,-331.766199906,-309.84188314
165,-331.692178821,-309.83823488
166,-331.618859591,-309.834648114
167,-331.546232658,-309.83112179
168,-331.474288628,-309.827654877
169,-331.403018273,-309.824246358
170,-331.332412523,-309.820895237
171,-331.262462465,-309.817600536
172,-331.193159337,-309.814361292
173,-331.124494528,-309.81117656
174,-331.056459573,-309.808045412
175,-330.98904615,-309.804966935
176,-330.922246078,-309.801940233
177,-330.856051313,-309.798964424
178,-330.790453944,-309.796038644
179,-330.725446193,-309.793162043
180,-330.661020413,-309.790333784
181,-330.59716908,-309.787553046
182,-330.533884796,-309.784819023
183,-330.471160283,-309.782130923
184,-330.408988383,-309.779487965
185,-330.347362053,-309.776889384
186,-330.286274367,-309.774334427
187,-330.225718508,-309.771822357
188,-330.16568777,-309.769352445
189,-330.106175554,-309.766923977
190,-330.047175367,-309.764536253
191,-329.988680819,-309.762188582
192,-329.930685623,-309.759880286
193,-329.873183588,-309.757610699
194,-329.816168623,-309.755379166
195,-329.759634732,-309.753185045
196,-329.703576014,-309.751027702
197,-329.647986658,-309.748906516
198,-329.592860944,-309.746820876
199,-329.53819324,-309.744770182
200,-329.483978004,-309.742753843
201,-329.430209774,-309.740771279
202,-329.376883177,-309.738821921
203,-329.323992919,-309.736905207
204,-329.271533787,-309.735020587
205,-329.219500647,-309.733167521
206,-329.167888444,-309.731345474
207,-329.116692199,-309.729553925
208,-329.065907006,-309.72779236
209,-329.015528034,-309.726060272
210,-328.965550525,-309.724357165
211,-328.91596979,-309.722682552
212,-328.866781211,-309.721035951
213,-328.817980237,-309.719416892
214,-328.769562386,-309.71782491
215,-328.72152324,-309.71625955
216,-328.673858447,-309.714720363
217,-328.626563719,-309.71320691
218,-328.579634829,-309.711718756
219,-328.533067613,-309.710255477
220,-328.486857966,-309.708816654
221,-328.441001844,-309.707401875
222,-328.395495259,-309.706010737
223,-328.350334283,-309.704642842
224,-328.305515041,-309.703297799
225,-328.261033716,-309.701975225
226,-328.216886545,-309.700674741
227,-328.173069818,-309.699395977
228,-328.129579876,-309.698138567
229,-328.086413115,-309.696902154
230,-328.043565978,-309.695686384
231,-328.001034961,-309.694490911
232,-327.958816607,-309.693315394
233,-327.916907509,-309.692159498
234,-327.875304307,-309.691022893
235,-327.834003685,-309.689905257
236,-327.793002377,-309.688806271
237,-327.75229716,-309.687725621
238,-327.711884854,-309.686663001
239,-327.671762327,-309.685618108
240,-327.631926484,-309.684590645
241,-327.592374278,-309.683580319
242,-327.5531027,-309.682586843
243,-327.514108782,-309.681609935
244,-327.475389597,-309.680649316
245,-327.436942259,-309.679704715
246,-327.398763919,-309.678775863
247,-327.360851765,-309.677862495
248,-327.323203027,-309.676964353
249,-327.285814967,-309.676081181
250,-327.248684887,-309.675212728
251,-327.211810124,-309.674358749
252,-327.17518805,-309.673519
253,-327.138816072,-309.672693245
254,-327.10269163,-309.671881247
255,-327.0668122,-309.671082777
256,-327.03117529,-309.67029761
257,-326.99577844,-309.669525521
258,-326.960619223,-309.668766292
259,-326.925695243,-309.668019708
260,-326.891004135,-309.667285558
261,-326.856543566,-309.666563634
262,-326.822311232,-309.66585373
263,-326.788304858,-309.665155647
264,-326.7545222,-309.664469186
265,-326.720961042,-309.663794153
266,-326.687619196,-309.663130357
267,-326.654494502,-309.662477611
268,-326.621584828,-309.661835729
269,-326.588888068,-309.66120453
270,-326.556402145,-309.660583835
271,-326.524125005,-309.659973469
272,-326.492054622,-309.65937326
273,-326.460188996,-309.658783037
274,-326.42852615,-309.658202634
275,-326.397064134,-309.657631887
276,-326.365801019,-309.657070635
277,-326.334734905,-309.656518719
278,-326.30386391,-309.655975983
279,-326.273186179,-309.655442274
280,-326.24269988,-309.654917441
281,-326.212403201,-309.654401336
282,-326.182294355,-309.653893813
283,-326.152371575,-309.653394729
284,-326.122633116,-309.652903944
285,-326.093077254,-309.652421319
286,-326.063702289,-309.651946717
287,-326.034506537,-309.651480005
288,-326.005488337,-309.651021051
289,-325.976646048,-309.650569726
290,-325.947978048,-309.650125903
291,-325.919482735,-309.649689456
292,-325.891158526,-309.649260262
293,-325.863003857,-309.648838201
294,-325.835017184,-309.648423154
295,-325.807196978,-309.648015003
296,-325.779541731,-309.647613633
297,-325.752049952,-309.647218933
298,-325.724720169,-309.646830789
299,-325.697550924,-309.646449094
300,-325.670540779,-309.646073739
